task,worker,label
4-127,AI_mean_5,4
2-252,AI_mean_5,2
3-329,AI_mean_5,3
2-230,AI_mean_5,2
3-125,AI_mean_5,3
0-300,AI_mean_5,4
2-375,AI_mean_5,2
0-338,AI_mean_5,3
0-474,AI_mean_5,3
3-4,AI_mean_5,3
3-8,AI_mean_5,3
0-227,AI_mean_5,3
4-211,AI_mean_5,4
2-452,AI_mean_5,2
0-121,AI_mean_5,3
1-20,AI_mean_5,1
4-88,AI_mean_5,4
2-498,AI_mean_5,2
0-416,AI_mean_5,3
4-76,AI_mean_5,4
2-16,AI_mean_5,2
4-314,AI_mean_5,4
2-395,AI_mean_5,2
3-34,AI_mean_5,3
3-371,AI_mean_5,2
0-72,AI_mean_5,3
0-51,AI_mean_5,3
0-76,AI_mean_5,3
1-107,AI_mean_5,1
2-218,AI_mean_5,2
1-179,AI_mean_5,4
2-231,AI_mean_5,2
2-405,AI_mean_5,2
0-359,AI_mean_5,3
4-296,AI_mean_5,4
1-131,AI_mean_5,0
4-274,AI_mean_5,4
3-387,AI_mean_5,4
1-273,AI_mean_5,1
2-254,AI_mean_5,2
3-449,AI_mean_5,3
0-231,AI_mean_5,3
2-374,AI_mean_5,2
1-138,AI_mean_5,1
0-163,AI_mean_5,3
0-260,AI_mean_5,3
3-205,AI_mean_5,0
3-213,AI_mean_5,3
1-302,AI_mean_5,1
3-182,AI_mean_5,3
2-64,AI_mean_5,2
1-490,AI_mean_5,1
2-438,AI_mean_5,2
3-19,AI_mean_5,3
1-80,AI_mean_5,1
0-106,AI_mean_5,2
4-441,AI_mean_5,4
2-359,AI_mean_5,2
4-340,AI_mean_5,4
4-380,AI_mean_5,4
1-194,AI_mean_5,4
1-228,AI_mean_5,1
1-297,AI_mean_5,1
2-97,AI_mean_5,2
1-258,AI_mean_5,1
4-428,AI_mean_5,4
3-422,AI_mean_5,3
4-57,AI_mean_5,4
3-376,AI_mean_5,3
0-303,AI_mean_5,3
2-149,AI_mean_5,2
0-242,AI_mean_5,3
1-418,AI_mean_5,1
3-298,AI_mean_5,3
4-147,AI_mean_5,2
4-463,AI_mean_5,4
4-332,AI_mean_5,4
3-282,AI_mean_5,3
3-103,AI_mean_5,3
2-229,AI_mean_5,2
0-309,AI_mean_5,3
0-295,AI_mean_5,3
3-420,AI_mean_5,3
2-268,AI_mean_5,2
3-151,AI_mean_5,3
0-408,AI_mean_5,3
4-457,AI_mean_5,4
4-227,AI_mean_5,4
3-489,AI_mean_5,3
3-50,AI_mean_5,3
4-243,AI_mean_5,4
0-156,AI_mean_5,2
1-147,AI_mean_5,1
2-307,AI_mean_5,3
2-98,AI_mean_5,2
1-382,AI_mean_5,1
4-83,AI_mean_5,4
0-378,AI_mean_5,3
1-216,AI_mean_5,4
1-94,AI_mean_5,1
0-283,AI_mean_5,3
4-388,AI_mean_5,4
2-96,AI_mean_5,2
1-140,AI_mean_5,1
2-279,AI_mean_5,2
0-155,AI_mean_5,3
0-350,AI_mean_5,3
2-431,AI_mean_5,2
4-261,AI_mean_5,4
4-367,AI_mean_5,4
2-402,AI_mean_5,2
3-78,AI_mean_5,3
4-3,AI_mean_5,4
1-144,AI_mean_5,1
4-381,AI_mean_5,4
2-209,AI_mean_5,2
3-195,AI_mean_5,3
3-123,AI_mean_5,3
3-131,AI_mean_5,3
2-380,AI_mean_5,2
1-89,AI_mean_5,1
1-36,AI_mean_5,1
4-97,AI_mean_5,4
3-267,AI_mean_5,3
3-289,AI_mean_5,3
1-390,AI_mean_5,1
3-486,AI_mean_5,3
3-245,AI_mean_5,3
1-411,AI_mean_5,1
0-412,AI_mean_5,3
3-140,AI_mean_5,4
4-290,AI_mean_5,4
0-181,AI_mean_5,3
4-366,AI_mean_5,4
2-3,AI_mean_5,2
0-456,AI_mean_5,3
4-435,AI_mean_5,1
1-313,AI_mean_5,1
4-225,AI_mean_5,4
0-238,AI_mean_5,3
3-116,AI_mean_5,1
1-141,AI_mean_5,1
0-383,AI_mean_5,3
4-128,AI_mean_5,4
2-497,AI_mean_5,3
3-292,AI_mean_5,3
3-188,AI_mean_5,3
3-308,AI_mean_5,2
3-377,AI_mean_5,2
3-448,AI_mean_5,3
3-61,AI_mean_5,3
2-485,AI_mean_5,2
0-77,AI_mean_5,3
1-267,AI_mean_5,1
2-55,AI_mean_5,3
0-2,AI_mean_5,3
2-103,AI_mean_5,2
4-487,AI_mean_5,4
4-65,AI_mean_5,3
2-351,AI_mean_5,2
3-212,AI_mean_5,3
2-457,AI_mean_5,2
2-189,AI_mean_5,2
0-370,AI_mean_5,3
3-372,AI_mean_5,3
2-1,AI_mean_5,2
4-298,AI_mean_5,4
4-302,AI_mean_5,4
1-84,AI_mean_5,1
3-150,AI_mean_5,3
2-274,AI_mean_5,2
0-109,AI_mean_5,3
4-204,AI_mean_5,4
1-53,AI_mean_5,1
2-262,AI_mean_5,2
4-466,AI_mean_5,4
4-383,AI_mean_5,4
1-289,AI_mean_5,1
4-207,AI_mean_5,2
1-82,AI_mean_5,1
3-472,AI_mean_5,3
2-111,AI_mean_5,2
0-137,AI_mean_5,3
1-170,AI_mean_5,1
2-207,AI_mean_5,2
2-398,AI_mean_5,3
0-234,AI_mean_5,3
4-90,AI_mean_5,4
1-85,AI_mean_5,2
2-484,AI_mean_5,2
3-260,AI_mean_5,3
1-160,AI_mean_5,1
0-193,AI_mean_5,3
1-261,AI_mean_5,1
1-332,AI_mean_5,1
4-292,AI_mean_5,4
0-476,AI_mean_5,3
0-467,AI_mean_5,3
0-61,AI_mean_5,3
2-48,AI_mean_5,2
1-270,AI_mean_5,4
0-389,AI_mean_5,3
1-90,AI_mean_5,1
0-480,AI_mean_5,4
3-328,AI_mean_5,3
2-143,AI_mean_5,2
2-49,AI_mean_5,2
1-264,AI_mean_5,1
1-338,AI_mean_5,1
3-402,AI_mean_5,3
3-270,AI_mean_5,3
0-385,AI_mean_5,3
0-221,AI_mean_5,3
1-335,AI_mean_5,1
3-9,AI_mean_5,0
1-428,AI_mean_5,1
0-56,AI_mean_5,3
3-241,AI_mean_5,3
0-259,AI_mean_5,3
2-256,AI_mean_5,2
0-66,AI_mean_5,3
1-449,AI_mean_5,1
2-232,AI_mean_5,3
0-453,AI_mean_5,0
0-12,AI_mean_5,3
3-104,AI_mean_5,1
3-109,AI_mean_5,3
3-64,AI_mean_5,3
4-259,AI_mean_5,4
0-65,AI_mean_5,3
3-186,AI_mean_5,3
1-455,AI_mean_5,1
3-467,AI_mean_5,3
1-378,AI_mean_5,1
3-80,AI_mean_5,0
3-443,AI_mean_5,3
1-78,AI_mean_5,1
4-238,AI_mean_5,4
1-158,AI_mean_5,1
1-69,AI_mean_5,1
2-336,AI_mean_5,2
3-356,AI_mean_5,3
1-448,AI_mean_5,1
2-133,AI_mean_5,2
2-361,AI_mean_5,4
4-284,AI_mean_5,4
0-390,AI_mean_5,3
3-69,AI_mean_5,3
1-469,AI_mean_5,1
4-269,AI_mean_5,4
0-86,AI_mean_5,3
0-166,AI_mean_5,0
1-427,AI_mean_5,1
4-281,AI_mean_5,4
3-208,AI_mean_5,3
2-488,AI_mean_5,2
2-341,AI_mean_5,2
4-347,AI_mean_5,4
1-93,AI_mean_5,2
0-349,AI_mean_5,3
4-251,AI_mean_5,4
2-120,AI_mean_5,1
0-465,AI_mean_5,3
1-424,AI_mean_5,1
4-341,AI_mean_5,3
3-137,AI_mean_5,3
4-453,AI_mean_5,1
2-446,AI_mean_5,2
3-353,AI_mean_5,3
3-70,AI_mean_5,3
0-63,AI_mean_5,3
4-458,AI_mean_5,4
0-202,AI_mean_5,3
2-33,AI_mean_5,2
2-459,AI_mean_5,2
4-395,AI_mean_5,4
0-245,AI_mean_5,3
2-193,AI_mean_5,3
0-235,AI_mean_5,3
4-444,AI_mean_5,4
4-24,AI_mean_5,3
4-34,AI_mean_5,4
3-395,AI_mean_5,3
4-178,AI_mean_5,4
3-490,AI_mean_5,3
2-414,AI_mean_5,2
2-294,AI_mean_5,2
3-281,AI_mean_5,3
2-25,AI_mean_5,2
1-477,AI_mean_5,1
3-20,AI_mean_5,3
0-118,AI_mean_5,3
0-8,AI_mean_5,3
0-491,AI_mean_5,3
3-126,AI_mean_5,3
4-164,AI_mean_5,2
4-355,AI_mean_5,4
0-10,AI_mean_5,3
2-387,AI_mean_5,2
2-344,AI_mean_5,2
4-335,AI_mean_5,4
1-463,AI_mean_5,1
1-60,AI_mean_5,1
3-259,AI_mean_5,3
0-26,AI_mean_5,3
2-151,AI_mean_5,2
4-15,AI_mean_5,4
2-284,AI_mean_5,2
0-373,AI_mean_5,3
0-82,AI_mean_5,3
1-28,AI_mean_5,1
0-93,AI_mean_5,3
0-464,AI_mean_5,3
0-9,AI_mean_5,2
0-112,AI_mean_5,3
4-331,AI_mean_5,4
4-459,AI_mean_5,4
3-393,AI_mean_5,3
1-492,AI_mean_5,1
4-415,AI_mean_5,4
4-455,AI_mean_5,1
4-325,AI_mean_5,4
2-57,AI_mean_5,2
3-412,AI_mean_5,0
4-215,AI_mean_5,4
0-446,AI_mean_5,3
0-171,AI_mean_5,3
1-279,AI_mean_5,1
1-442,AI_mean_5,1
3-481,AI_mean_5,3
3-203,AI_mean_5,3
3-363,AI_mean_5,3
3-135,AI_mean_5,3
3-228,AI_mean_5,3
0-116,AI_mean_5,3
2-472,AI_mean_5,4
1-303,AI_mean_5,1
2-53,AI_mean_5,2
4-107,AI_mean_5,4
3-122,AI_mean_5,3
0-141,AI_mean_5,3
3-94,AI_mean_5,3
1-123,AI_mean_5,1
3-299,AI_mean_5,3
3-432,AI_mean_5,3
2-188,AI_mean_5,2
2-198,AI_mean_5,2
2-29,AI_mean_5,2
0-252,AI_mean_5,2
0-125,AI_mean_5,3
2-323,AI_mean_5,2
1-213,AI_mean_5,0
3-272,AI_mean_5,3
0-133,AI_mean_5,3
3-202,AI_mean_5,2
1-48,AI_mean_5,1
0-339,AI_mean_5,3
0-470,AI_mean_5,3
3-58,AI_mean_5,2
1-73,AI_mean_5,1
2-0,AI_mean_5,2
3-253,AI_mean_5,3
1-450,AI_mean_5,1
1-398,AI_mean_5,0
1-52,AI_mean_5,1
0-410,AI_mean_5,1
4-165,AI_mean_5,4
3-99,AI_mean_5,3
4-232,AI_mean_5,4
0-308,AI_mean_5,3
0-316,AI_mean_5,3
1-56,AI_mean_5,1
4-247,AI_mean_5,0
2-76,AI_mean_5,2
4-216,AI_mean_5,4
1-366,AI_mean_5,1
2-195,AI_mean_5,2
2-397,AI_mean_5,2
2-40,AI_mean_5,2
1-336,AI_mean_5,1
0-40,AI_mean_5,3
4-348,AI_mean_5,4
4-295,AI_mean_5,4
2-43,AI_mean_5,2
2-114,AI_mean_5,0
0-333,AI_mean_5,3
1-243,AI_mean_5,1
4-393,AI_mean_5,4
3-238,AI_mean_5,3
0-146,AI_mean_5,3
0-138,AI_mean_5,3
1-349,AI_mean_5,0
2-287,AI_mean_5,2
3-274,AI_mean_5,3
1-99,AI_mean_5,1
2-426,AI_mean_5,2
4-163,AI_mean_5,1
4-483,AI_mean_5,4
0-113,AI_mean_5,0
1-355,AI_mean_5,1
2-365,AI_mean_5,0
3-439,AI_mean_5,3
0-287,AI_mean_5,2
2-186,AI_mean_5,2
4-187,AI_mean_5,4
4-313,AI_mean_5,4
2-9,AI_mean_5,2
0-399,AI_mean_5,3
4-23,AI_mean_5,4
0-108,AI_mean_5,3
0-433,AI_mean_5,3
4-419,AI_mean_5,4
0-84,AI_mean_5,3
0-368,AI_mean_5,3
2-45,AI_mean_5,2
4-486,AI_mean_5,4
3-196,AI_mean_5,3
3-334,AI_mean_5,3
1-394,AI_mean_5,1
2-187,AI_mean_5,2
1-471,AI_mean_5,1
3-499,AI_mean_5,3
4-496,AI_mean_5,4
2-137,AI_mean_5,2
0-358,AI_mean_5,3
3-491,AI_mean_5,3
2-168,AI_mean_5,1
1-211,AI_mean_5,1
4-184,AI_mean_5,4
0-380,AI_mean_5,3
0-438,AI_mean_5,3
2-249,AI_mean_5,2
0-97,AI_mean_5,4
2-38,AI_mean_5,2
1-256,AI_mean_5,1
1-430,AI_mean_5,1
4-239,AI_mean_5,4
0-413,AI_mean_5,3
0-90,AI_mean_5,2
4-36,AI_mean_5,4
0-80,AI_mean_5,3
3-169,AI_mean_5,3
2-450,AI_mean_5,2
4-356,AI_mean_5,4
2-23,AI_mean_5,2
3-385,AI_mean_5,3
4-169,AI_mean_5,4
1-242,AI_mean_5,1
3-493,AI_mean_5,3
2-444,AI_mean_5,2
4-200,AI_mean_5,4
0-396,AI_mean_5,3
2-360,AI_mean_5,4
3-23,AI_mean_5,3
2-20,AI_mean_5,2
4-430,AI_mean_5,0
0-53,AI_mean_5,3
1-102,AI_mean_5,1
0-261,AI_mean_5,3
3-83,AI_mean_5,3
4-4,AI_mean_5,4
2-386,AI_mean_5,2
0-460,AI_mean_5,3
1-12,AI_mean_5,1
4-357,AI_mean_5,4
0-132,AI_mean_5,3
2-264,AI_mean_5,2
3-184,AI_mean_5,3
4-37,AI_mean_5,4
3-306,AI_mean_5,3
1-385,AI_mean_5,1
0-201,AI_mean_5,3
0-214,AI_mean_5,3
0-33,AI_mean_5,3
3-370,AI_mean_5,3
4-78,AI_mean_5,4
2-415,AI_mean_5,4
3-405,AI_mean_5,3
0-315,AI_mean_5,3
3-415,AI_mean_5,3
2-421,AI_mean_5,2
3-434,AI_mean_5,3
0-494,AI_mean_5,3
2-313,AI_mean_5,2
0-124,AI_mean_5,3
3-3,AI_mean_5,3
4-235,AI_mean_5,4
4-6,AI_mean_5,4
4-43,AI_mean_5,1
4-494,AI_mean_5,4
1-210,AI_mean_5,1
2-417,AI_mean_5,2
4-249,AI_mean_5,4
2-192,AI_mean_5,2
3-374,AI_mean_5,3
0-369,AI_mean_5,2
4-161,AI_mean_5,4
0-47,AI_mean_5,3
3-310,AI_mean_5,3
1-10,AI_mean_5,1
4-270,AI_mean_5,4
0-147,AI_mean_5,3
4-233,AI_mean_5,4
4-221,AI_mean_5,4
3-106,AI_mean_5,3
3-295,AI_mean_5,3
4-166,AI_mean_5,4
1-417,AI_mean_5,1
4-214,AI_mean_5,4
3-390,AI_mean_5,3
0-14,AI_mean_5,2
2-370,AI_mean_5,2
4-143,AI_mean_5,4
4-397,AI_mean_5,4
1-127,AI_mean_5,1
2-118,AI_mean_5,2
4-434,AI_mean_5,4
0-312,AI_mean_5,1
3-146,AI_mean_5,3
1-241,AI_mean_5,1
2-328,AI_mean_5,4
3-326,AI_mean_5,3
3-14,AI_mean_5,3
2-225,AI_mean_5,2
1-277,AI_mean_5,1
3-290,AI_mean_5,3
2-183,AI_mean_5,2
3-403,AI_mean_5,4
2-368,AI_mean_5,2
4-379,AI_mean_5,4
1-116,AI_mean_5,1
3-477,AI_mean_5,3
4-56,AI_mean_5,4
1-227,AI_mean_5,1
4-375,AI_mean_5,4
3-428,AI_mean_5,3
0-87,AI_mean_5,1
4-139,AI_mean_5,4
4-173,AI_mean_5,4
4-112,AI_mean_5,4
0-180,AI_mean_5,3
3-367,AI_mean_5,3
2-206,AI_mean_5,2
3-280,AI_mean_5,3
2-26,AI_mean_5,2
1-232,AI_mean_5,1
0-392,AI_mean_5,3
3-226,AI_mean_5,3
4-370,AI_mean_5,4
3-383,AI_mean_5,3
3-45,AI_mean_5,3
1-480,AI_mean_5,4
4-156,AI_mean_5,3
1-177,AI_mean_5,1
2-272,AI_mean_5,2
0-488,AI_mean_5,3
3-424,AI_mean_5,2
4-437,AI_mean_5,4
4-470,AI_mean_5,4
1-437,AI_mean_5,1
2-458,AI_mean_5,2
1-470,AI_mean_5,0
1-255,AI_mean_5,1
0-492,AI_mean_5,3
0-95,AI_mean_5,3
1-7,AI_mean_5,1
4-479,AI_mean_5,4
2-465,AI_mean_5,2
0-168,AI_mean_5,3
3-200,AI_mean_5,3
1-192,AI_mean_5,4
3-338,AI_mean_5,3
0-237,AI_mean_5,3
4-46,AI_mean_5,4
0-381,AI_mean_5,3
2-146,AI_mean_5,2
3-444,AI_mean_5,3
1-72,AI_mean_5,1
3-460,AI_mean_5,3
2-181,AI_mean_5,2
1-333,AI_mean_5,1
0-483,AI_mean_5,2
4-8,AI_mean_5,3
4-145,AI_mean_5,4
3-442,AI_mean_5,3
1-119,AI_mean_5,0
4-72,AI_mean_5,4
0-92,AI_mean_5,2
3-181,AI_mean_5,3
1-19,AI_mean_5,1
3-431,AI_mean_5,3
4-472,AI_mean_5,4
2-128,AI_mean_5,2
3-324,AI_mean_5,3
0-418,AI_mean_5,3
1-172,AI_mean_5,1
1-369,AI_mean_5,1
2-166,AI_mean_5,2
1-166,AI_mean_5,1
2-79,AI_mean_5,2
0-161,AI_mean_5,3
0-498,AI_mean_5,3
1-412,AI_mean_5,1
4-371,AI_mean_5,2
1-362,AI_mean_5,3
2-77,AI_mean_5,2
0-477,AI_mean_5,3
0-264,AI_mean_5,3
4-82,AI_mean_5,4
2-257,AI_mean_5,0
4-196,AI_mean_5,4
2-5,AI_mean_5,2
3-96,AI_mean_5,3
3-470,AI_mean_5,3
4-154,AI_mean_5,4
0-107,AI_mean_5,3
2-449,AI_mean_5,2
2-409,AI_mean_5,2
0-409,AI_mean_5,3
1-439,AI_mean_5,1
1-240,AI_mean_5,0
2-163,AI_mean_5,0
4-208,AI_mean_5,4
1-375,AI_mean_5,1
3-423,AI_mean_5,3
4-41,AI_mean_5,4
2-17,AI_mean_5,2
4-363,AI_mean_5,4
2-342,AI_mean_5,2
3-445,AI_mean_5,3
2-466,AI_mean_5,2
4-188,AI_mean_5,4
2-483,AI_mean_5,2
0-41,AI_mean_5,3
2-58,AI_mean_5,2
0-102,AI_mean_5,3
4-427,AI_mean_5,4
4-481,AI_mean_5,4
0-277,AI_mean_5,2
3-482,AI_mean_5,3
0-172,AI_mean_5,3
4-245,AI_mean_5,4
2-289,AI_mean_5,2
2-101,AI_mean_5,2
2-278,AI_mean_5,2
0-306,AI_mean_5,3
0-353,AI_mean_5,3
0-301,AI_mean_5,3
4-263,AI_mean_5,3
0-206,AI_mean_5,3
0-257,AI_mean_5,3
3-155,AI_mean_5,3
0-485,AI_mean_5,3
1-200,AI_mean_5,1
0-281,AI_mean_5,3
2-391,AI_mean_5,2
4-448,AI_mean_5,0
3-198,AI_mean_5,3
0-479,AI_mean_5,3
2-427,AI_mean_5,2
0-54,AI_mean_5,3
4-491,AI_mean_5,4
4-299,AI_mean_5,4
1-125,AI_mean_5,1
3-278,AI_mean_5,3
0-126,AI_mean_5,3
2-92,AI_mean_5,2
1-292,AI_mean_5,1
3-315,AI_mean_5,3
0-490,AI_mean_5,3
4-19,AI_mean_5,4
0-313,AI_mean_5,3
3-31,AI_mean_5,0
0-114,AI_mean_5,3
2-127,AI_mean_5,2
4-116,AI_mean_5,4
1-429,AI_mean_5,1
1-183,AI_mean_5,0
0-218,AI_mean_5,3
0-429,AI_mean_5,3
2-52,AI_mean_5,2
3-12,AI_mean_5,3
4-199,AI_mean_5,4
3-492,AI_mean_5,3
2-122,AI_mean_5,2
3-185,AI_mean_5,3
1-249,AI_mean_5,1
0-240,AI_mean_5,4
0-495,AI_mean_5,3
1-88,AI_mean_5,1
0-372,AI_mean_5,3
3-75,AI_mean_5,3
3-476,AI_mean_5,3
0-457,AI_mean_5,3
