task,worker,label,gt
t538,w76,4,5
t1043,w424,2,3
t200,w236,1,1
t310,w84,1,1
t810,w66,3,5
t1042,w550,3,3
t606,w102,5,1
t957,w369,5,5
t568,w481,2,2
t163,w745,2,3
t1022,w223,3,5
t357,w792,3,5
t913,w634,3,3
t163,w495,3,3
t119,w581,5,5
t272,w14,3,3
t403,w543,3,3
t705,w528,3,3
t412,w692,3,3
t624,w58,5,3
t126,w737,3,3
t204,w626,3,3
t801,w437,1,3
t176,w171,5,5
t266,w505,5,5
t467,w806,5,5
t749,w477,3,3
t773,w364,1,3
t192,w689,5,5
t23,w162,3,3
t36,w510,4,5
t86,w216,3,3
t363,w634,5,4
t556,w700,3,3
t612,w551,5,5
t98,w663,1,5
t901,w388,2,3
t824,w777,5,5
t834,w227,5,5
t919,w831,5,5
t575,w350,2,3
t386,w127,1,3
t361,w77,3,3
t163,w542,3,3
t216,w31,5,5
t960,w55,3,1
t566,w54,5,5
t402,w101,1,3
t1042,w22,3,3
t208,w587,5,5
t226,w297,3,3
t258,w358,5,5
t737,w141,3,2
t883,w698,5,5
t584,w457,3,3
t721,w63,5,5
t630,w313,2,3
t287,w760,3,3
t155,w802,4,4
t941,w435,1,3
t179,w46,5,5
t112,w236,4,5
t876,w499,3,1
t623,w636,2,3
t878,w413,3,3
t1038,w579,3,3
t728,w731,3,4
t719,w315,3,3
t830,w587,3,3
t660,w435,2,3
t917,w635,3,3
t740,w313,3,3
t469,w85,5,5
t1020,w544,5,5
t735,w166,3,3
t0,w287,2,2
t870,w313,5,5
t286,w463,2,2
t506,w610,5,4
t1049,w789,3,5
t267,w244,4,4
t730,w126,3,3
t469,w309,5,5
t644,w664,1,1
t648,w102,2,2
t526,w207,3,3
t487,w25,5,5
t716,w112,3,3
t1032,w354,5,5
t936,w502,1,1
t937,w759,5,5
t677,w127,1,1
t254,w201,3,3
t479,w54,5,5
t50,w581,3,3
t623,w83,2,3
t833,w537,3,3
t966,w116,2,3
t558,w50,3,3
t1003,w503,4,3
t982,w672,3,3
t67,w468,5,5
t921,w607,3,3
t65,w640,1,3
t547,w616,5,5
t292,w241,3,3
t901,w173,3,3
t40,w235,5,5
t567,w671,3,3
t539,w231,3,3
t292,w759,3,3
t171,w241,3,3
t916,w567,5,5
t508,w624,4,1
t971,w300,3,3
t603,w58,3,3
t368,w594,1,3
t201,w277,5,3
t249,w728,3,3
t435,w213,3,3
t425,w164,3,3
t887,w444,3,3
t828,w68,2,4
t21,w616,5,5
t86,w766,3,3
t0,w725,2,2
t881,w555,3,3
t825,w564,3,3
t525,w486,3,3
t886,w546,5,5
t128,w367,2,3
t593,w313,5,5
t509,w448,4,4
t582,w297,2,3
t470,w833,3,3
t641,w277,5,5
t1016,w178,3,3
t13,w103,3,3
t390,w37,2,3
t283,w127,4,4
t43,w257,3,3
t646,w296,3,3
t88,w429,1,2
t95,w127,3,3
t454,w366,2,3
t978,w300,2,2
t304,w634,3,3
t508,w236,1,1
t571,w457,1,3
t197,w272,3,3
t736,w531,4,4
t16,w547,3,3
t480,w234,1,1
t165,w412,5,5
t183,w628,5,4
t219,w654,3,3
t939,w705,3,3
t546,w516,5,5
t65,w270,3,3
t491,w654,5,5
t181,w700,1,3
t518,w626,3,3
t160,w165,3,3
t607,w776,5,5
t766,w130,3,5
t648,w270,2,2
t612,w64,5,5
t188,w567,5,5
t1019,w657,5,5
t686,w774,3,3
t1019,w52,5,5
t1010,w96,5,5
t602,w509,5,5
t31,w237,5,5
t369,w25,3,3
t48,w33,5,5
t1030,w145,3,3
t423,w553,5,5
t128,w428,3,3
t130,w81,5,5
t467,w204,5,5
t455,w396,3,3
t333,w487,3,3
t1006,w226,5,5
t385,w803,1,1
t495,w699,3,3
t130,w13,5,5
t146,w171,3,3
t827,w519,3,3
t593,w150,1,5
t427,w634,3,3
t1019,w276,5,5
t147,w412,5,5
t825,w54,3,3
t353,w748,5,5
t903,w465,4,4
t638,w188,3,3
t744,w294,5,5
t115,w565,1,1
t292,w103,3,3
t31,w252,3,5
t903,w157,4,4
t313,w784,5,5
t504,w717,5,3
t47,w35,3,3
t441,w284,3,3
t1027,w467,3,3
t283,w636,5,4
t1047,w502,3,3
t639,w576,1,1
t986,w648,4,4
t539,w16,3,3
t871,w583,4,5
t1050,w665,3,3
t217,w735,4,5
t979,w236,3,3
t548,w622,3,3
t509,w410,4,4
t81,w203,5,5
t179,w778,4,5
t702,w761,5,5
t1003,w1,3,3
t377,w211,3,3
t722,w421,3,3
t406,w533,3,3
t527,w282,3,3
t513,w184,5,4
t88,w320,2,2
t38,w511,5,4
t92,w764,3,3
t1006,w193,5,5
t198,w826,3,3
t12,w520,1,1
t152,w185,5,5
t197,w396,3,3
t805,w268,2,2
t603,w686,3,3
t369,w331,3,3
t899,w595,5,5
t1018,w467,5,5
t526,w577,5,3
t751,w820,3,3
t951,w249,3,3
t633,w577,3,3
t995,w78,1,3
t882,w391,5,5
t167,w242,3,3
t593,w102,5,5
t394,w689,5,5
t243,w738,3,3
t336,w181,1,3
t592,w247,1,3
t509,w162,2,4
t288,w753,3,3
t109,w597,3,3
t603,w148,3,3
t406,w763,3,3
t831,w51,3,3
t99,w252,2,3
t70,w643,3,3
t140,w44,3,3
t500,w519,3,3
t578,w295,2,2
t533,w138,3,3
t119,w84,5,5
t1019,w466,5,5
t32,w162,4,5
t547,w184,5,5
t44,w308,3,3
t641,w387,5,5
t396,w301,1,3
t140,w456,1,3
t507,w230,1,3
t718,w187,3,3
t990,w176,5,5
t974,w542,3,3
t827,w18,3,3
t1047,w219,3,3
t987,w215,3,3
t935,w720,5,5
t691,w755,5,5
t768,w389,5,4
t791,w499,3,3
t249,w534,1,3
t130,w60,5,5
t427,w432,3,3
t700,w74,5,5
t674,w309,4,4
t179,w317,5,5
t1035,w104,3,3
t580,w706,3,3
t520,w729,3,2
t844,w255,5,5
t292,w1,3,3
t278,w742,3,3
t653,w238,3,4
t64,w670,5,5
t163,w103,3,3
t467,w583,5,5
t72,w88,3,3
t447,w569,2,4
t553,w243,5,5
t716,w73,3,3
t62,w82,5,5
t676,w70,3,3
t965,w429,1,3
t817,w22,3,3
t963,w601,5,5
t679,w67,1,3
t656,w574,5,5
t557,w517,3,1
t916,w767,5,5
t106,w601,5,5
t489,w680,3,3
t98,w432,1,5
t685,w602,1,3
t670,w94,3,3
t524,w415,3,3
t998,w485,1,3
t207,w228,3,3
t729,w767,3,3
t1027,w593,3,3
t841,w785,4,5
t967,w353,5,5
t380,w141,4,4
t434,w381,5,1
t880,w282,5,5
t690,w631,3,1
t583,w366,5,5
t723,w236,3,3
t615,w641,3,3
t785,w89,5,1
t1049,w745,5,5
t634,w742,3,3
t592,w292,1,3
t731,w260,3,3
t756,w253,3,3
t916,w465,1,5
t67,w33,5,5
t745,w276,5,5
t1015,w259,4,4
t806,w743,5,5
t205,w704,3,3
t778,w373,4,3
t1036,w530,3,3
t537,w541,4,4
t387,w95,2,2
t482,w685,5,5
t669,w551,3,3
t81,w666,5,5
t885,w453,5,5
t267,w700,4,4
t714,w244,3,3
t883,w322,1,5
t725,w272,3,3
t794,w442,3,5
t397,w37,3,3
t337,w656,2,3
t652,w266,2,3
t107,w93,3,5
t592,w373,1,3
t678,w448,4,4
t50,w371,3,3
t994,w82,3,1
t356,w799,1,3
t44,w284,3,3
t438,w186,3,3
t476,w736,5,5
t89,w268,4,4
t491,w335,5,5
t851,w200,3,3
t654,w25,3,3
t379,w716,5,5
t199,w236,3,3
t986,w583,4,4
t258,w189,4,5
t16,w84,3,3
t682,w77,5,5
t905,w157,3,3
t894,w362,5,3
t823,w467,3,3
t97,w135,3,3
t818,w218,1,5
t613,w171,1,3
t766,w124,5,5
t406,w244,1,3
t599,w743,3,3
t734,w420,5,5
t423,w97,5,5
t745,w48,5,5
t641,w130,5,5
t911,w687,5,1
t928,w798,3,3
t269,w262,2,2
t863,w687,2,3
t278,w147,3,3
t64,w301,3,5
t227,w3,3,2
t183,w530,3,4
t156,w524,3,3
t1030,w144,3,3
t953,w671,5,5
t849,w386,5,5
t960,w687,3,1
t714,w772,3,3
t807,w76,3,3
t679,w382,3,3
t247,w644,3,3
t670,w110,3,3
t709,w605,5,5
t189,w668,5,1
t473,w154,5,5
t286,w505,2,2
t67,w3,5,5
t412,w827,3,3
t299,w68,3,3
t1051,w184,2,3
t293,w73,4,5
t191,w357,3,3
t799,w720,3,3
t462,w446,3,3
t120,w723,4,4
t577,w48,3,3
t937,w338,4,5
t108,w273,3,1
t596,w171,3,3
t296,w232,3,3
t279,w636,1,5
t531,w107,5,5
t64,w132,1,5
t832,w275,3,3
t499,w259,3,3
t286,w271,2,2
t146,w178,3,3
t406,w792,3,3
t680,w284,3,3
t59,w351,4,4
t191,w680,3,3
t284,w7,3,3
t80,w196,3,1
t433,w314,4,5
t816,w190,5,3
t499,w475,3,3
t629,w661,3,3
t877,w730,3,3
t890,w303,3,3
t574,w713,5,5
t1049,w830,5,5
t162,w335,3,3
t816,w334,3,3
t167,w99,3,3
t643,w639,3,5
t670,w751,3,3
t537,w495,4,4
t700,w223,1,5
t341,w729,3,2
t924,w602,3,3
t554,w174,3,1
t1022,w344,5,5
t103,w738,5,5
t972,w98,1,1
t1044,w204,3,3
t745,w627,5,5
t230,w214,3,3
t673,w101,5,5
t309,w294,1,1
t515,w451,3,3
t1014,w684,3,3
t873,w603,3,3
t484,w603,5,5
t75,w240,3,3
t839,w222,3,3
t244,w773,3,3
t592,w218,5,3
t577,w369,3,3
t455,w96,3,3
t632,w754,5,5
t419,w549,3,2
t302,w164,5,5
t909,w195,5,5
t180,w497,5,5
t930,w303,3,3
t452,w159,5,5
t675,w757,5,4
t1015,w494,4,4
t179,w450,4,5
t809,w365,2,3
t1026,w519,1,1
t901,w265,2,3
t902,w824,3,3
t261,w703,5,4
t849,w609,5,5
t476,w647,5,5
t504,w10,3,3
t871,w378,5,5
t362,w623,3,3
t748,w514,5,5
t774,w420,5,5
t1049,w767,5,5
t436,w734,3,3
t226,w202,3,3
t138,w210,3,3
t413,w143,2,3
t3,w353,1,3
t486,w506,3,2
t203,w297,3,3
t920,w733,5,5
t888,w665,3,3
t883,w664,5,5
t399,w84,5,5
t1047,w59,3,3
t943,w413,5,1
t578,w143,2,2
t320,w830,3,3
t88,w680,3,2
t994,w625,1,1
t934,w46,1,5
t96,w103,3,3
t245,w268,5,5
t1043,w497,3,3
t504,w818,3,3
t735,w600,3,3
t216,w752,5,5
t306,w532,5,5
t668,w184,3,3
t368,w529,3,3
t184,w644,5,5
t589,w152,3,2
t824,w256,5,5
t130,w635,1,5
t167,w445,3,3
t968,w184,5,5
t721,w543,5,5
t387,w276,2,2
t357,w44,3,5
t656,w688,5,5
t352,w650,3,3
t62,w617,4,5
t966,w687,2,3
t597,w593,4,3
t919,w828,5,5
t242,w712,5,5
t411,w824,1,3
t321,w299,3,3
t666,w234,3,3
t729,w214,3,3
t576,w323,3,3
t492,w767,3,3
t536,w786,1,5
t999,w400,3,3
t275,w337,3,3
t692,w204,3,3
t246,w215,5,5
t679,w204,3,3
t926,w626,3,5
t828,w15,4,4
t138,w721,3,3
t947,w686,3,5
t806,w514,5,5
t535,w770,4,5
t665,w585,5,5
t211,w657,1,3
t412,w492,3,3
t103,w820,5,5
t153,w460,3,3
t844,w297,5,5
t535,w647,1,5
t832,w317,1,3
t33,w270,5,5
t80,w178,5,1
t429,w624,5,3
t237,w713,3,3
t828,w573,2,4
t469,w240,5,5
t968,w362,5,5
t561,w67,3,1
t548,w597,3,3
t154,w37,5,5
t883,w442,5,5
t163,w818,3,3
t714,w525,3,3
t395,w420,5,5
t559,w357,4,1
t820,w603,3,3
t416,w50,5,5
t422,w404,3,3
t438,w480,3,3
t144,w481,3,3
t937,w413,5,5
t934,w325,5,5
t438,w276,3,3
t365,w391,3,3
t933,w333,1,5
t751,w140,3,3
t210,w446,4,4
t540,w313,3,3
t172,w807,5,5
t892,w531,4,4
t737,w277,2,2
t406,w372,3,3
t895,w550,4,2
t113,w529,5,5
t803,w420,3,3
t632,w500,5,5
t901,w517,3,3
t623,w156,2,3
t959,w768,5,4
t857,w570,3,3
t51,w103,5,5
t266,w668,5,5
t794,w147,3,5
t303,w746,1,1
t55,w184,3,3
t877,w178,3,3
t646,w126,3,3
t99,w772,3,3
t766,w694,3,5
t528,w396,3,3
t899,w57,5,5
t966,w668,2,3
t657,w238,5,5
t334,w198,5,5
t857,w738,3,3
t117,w398,5,1
t323,w216,5,5
t947,w224,3,5
t861,w491,3,3
t706,w394,3,3
t316,w469,3,3
t361,w169,3,3
t745,w256,5,5
t787,w778,3,3
t14,w416,4,5
t749,w542,3,3
t591,w288,5,5
t130,w148,5,5
t314,w33,3,2
t878,w345,3,3
t534,w236,5,5
t607,w808,5,5
t603,w464,3,3
t91,w628,3,3
t536,w442,5,5
t558,w187,2,3
t558,w565,2,3
t387,w767,3,2
t716,w808,3,3
t623,w4,2,3
t140,w153,3,3
t697,w396,3,3
t269,w543,2,2
t364,w236,3,5
t687,w737,3,5
t960,w4,1,1
t114,w706,5,5
t412,w200,3,3
t343,w277,5,5
t72,w804,3,3
t455,w639,3,3
t26,w277,5,5
t335,w152,2,5
t387,w835,2,2
t785,w725,1,1
t686,w211,3,3
t818,w525,1,5
t364,w443,5,5
t654,w651,3,3
t773,w391,1,3
t284,w350,3,3
t818,w796,5,5
t180,w333,5,5
t944,w743,3,3
t753,w266,3,5
t883,w763,1,5
t284,w168,3,3
t130,w796,5,5
t959,w124,4,4
t407,w8,5,3
t990,w451,5,5
t368,w803,1,3
t438,w214,3,3
t953,w64,5,5
t115,w52,1,1
t876,w298,3,1
t380,w126,4,4
t661,w341,3,3
t413,w699,2,3
t849,w37,5,5
t347,w745,5,5
t529,w743,5,5
t344,w427,5,5
t674,w513,5,4
t778,w316,3,3
t230,w189,3,3
t902,w367,3,3
t93,w335,3,3
t653,w1,3,4
t176,w46,5,5
t231,w467,5,3
t239,w692,3,3
t371,w412,3,3
t829,w467,3,3
t258,w803,5,5
t816,w660,3,3
t717,w632,3,3
t161,w340,3,3
t118,w692,3,3
t901,w787,3,3
t293,w508,5,5
t51,w807,5,5
t151,w612,5,5
t608,w173,2,3
t1,w522,3,3
t230,w388,3,3
t858,w722,3,3
t148,w270,3,3
t556,w600,3,3
t267,w382,4,4
t959,w219,4,4
t86,w574,3,3
t814,w105,5,5
t261,w575,5,4
t78,w788,2,2
t135,w325,3,3
t916,w60,5,5
t296,w744,3,3
t499,w79,3,3
t705,w298,3,3
t870,w781,5,5
t105,w518,3,3
t958,w554,3,1
t445,w634,3,3
t258,w547,5,5
t104,w19,3,3
t301,w629,2,2
t558,w172,3,3
t1015,w509,4,4
t506,w453,5,4
t163,w110,3,3
t46,w506,3,2
t301,w232,3,2
t141,w430,5,5
t722,w64,3,3
t555,w716,5,5
t48,w50,5,5
t692,w497,3,3
t885,w519,3,5
t594,w294,3,3
t888,w157,3,3
t169,w312,3,3
t495,w449,3,3
t94,w306,5,5
t1038,w33,3,3
t386,w813,3,3
t372,w20,3,3
t23,w821,3,3
t842,w716,1,1
t873,w789,1,3
t243,w462,1,3
t69,w654,4,4
t34,w767,3,3
t960,w538,1,1
t374,w115,3,3
t61,w138,3,3
t684,w807,1,1
t939,w155,3,3
t607,w346,5,5
t267,w37,4,4
t425,w58,3,3
t308,w402,3,3
t916,w813,5,5
t286,w614,2,2
t729,w480,3,3
t315,w769,1,3
t805,w129,2,2
t839,w706,2,3
t393,w305,5,5
t223,w690,5,4
t458,w178,5,5
t1003,w712,4,3
t24,w692,5,5
t314,w675,2,2
t846,w600,5,4
t223,w712,1,4
t185,w392,3,3
t1030,w688,3,3
t703,w7,3,3
t729,w320,3,3
t315,w336,1,3
t703,w12,3,3
t735,w344,3,3
t745,w125,5,5
t367,w405,3,3
t834,w645,5,5
t444,w287,3,1
t240,w633,3,3
t833,w168,3,3
t1030,w468,3,3
t357,w23,3,5
t59,w12,4,4
t829,w394,3,3
t279,w338,1,5
t811,w233,5,5
t197,w801,3,3
t928,w465,3,3
t1029,w766,5,5
t1014,w594,3,3
t719,w455,3,3
t603,w442,3,3
t511,w583,3,3
t791,w22,3,3
t239,w196,3,3
t380,w627,4,4
t945,w815,3,3
t357,w67,3,5
t151,w33,5,5
t586,w195,1,1
t100,w567,3,3
t722,w103,3,3
t422,w140,3,3
t246,w175,5,5
t22,w204,3,2
t189,w225,3,1
t611,w746,3,3
t333,w313,3,3
t259,w160,3,3
t350,w769,3,3
t185,w93,3,3
t962,w11,3,3
t79,w688,2,3
t481,w664,5,5
t1030,w139,3,3
t141,w720,5,5
t987,w524,3,3
t270,w137,3,3
t497,w485,5,5
t859,w692,5,5
t352,w353,3,3
t87,w171,3,3
t700,w143,5,5
t123,w380,3,3
t856,w318,3,3
t559,w177,4,1
t959,w492,5,4
t151,w722,5,5
t406,w410,3,3
t428,w345,3,3
t553,w28,5,5
t435,w271,3,3
t36,w675,5,5
t589,w184,3,2
t3,w704,3,3
t93,w764,3,3
t755,w678,1,1
t749,w208,3,3
t363,w130,4,4
t964,w781,5,5
t107,w458,3,5
t20,w779,2,2
t818,w835,1,5
t964,w582,5,5
t854,w16,5,5
t703,w605,3,3
t217,w745,3,5
t363,w326,5,4
t160,w469,3,3
t135,w54,2,3
t231,w405,1,3
t790,w452,3,3
t188,w195,5,5
t111,w413,3,3
t880,w169,5,5
t456,w355,5,5
t230,w322,3,3
t673,w365,5,5
t195,w33,4,3
t837,w481,3,3
t205,w717,1,3
t120,w260,5,4
t619,w425,3,3
t986,w344,2,4
t568,w727,2,2
t278,w292,3,3
t858,w34,3,3
t608,w110,3,3
t224,w372,3,1
t1040,w727,3,3
t662,w802,5,5
t69,w778,4,4
t278,w23,3,3
t976,w313,4,4
t78,w195,3,2
t530,w295,4,4
t525,w767,3,3
t807,w203,3,3
t985,w21,5,5
t1005,w764,5,5
t308,w96,3,3
t558,w126,3,3
t593,w155,5,5
t263,w497,5,5
t845,w778,5,4
t576,w359,3,3
t931,w121,3,1
t119,w762,5,5
t222,w626,2,3
t49,w711,3,3
t249,w373,1,3
t950,w509,3,3
t880,w364,5,5
t341,w591,5,2
t465,w157,5,5
t561,w138,1,1
t923,w720,3,3
t1043,w410,3,3
t599,w665,3,3
t742,w558,5,5
t652,w755,3,3
t947,w40,3,5
t133,w56,5,5
t1041,w761,3,3
t467,w298,5,5
t554,w509,1,1
t839,w138,2,3
t359,w274,2,3
t818,w52,5,5
t746,w54,3,3
t750,w719,1,3
t585,w391,5,5
t711,w738,3,3
t305,w713,1,3
t26,w524,5,5
t76,w59,5,5
t1,w99,3,3
t242,w597,5,5
t679,w594,1,3
t23,w5,3,3
t507,w535,1,3
t555,w141,5,5
t977,w397,3,3
t255,w695,3,3
t662,w688,5,5
t797,w751,5,5
t246,w335,5,5
t7,w599,3,3
t9,w369,3,3
t249,w31,3,3
t980,w821,3,5
t466,w716,3,3
t565,w87,3,5
t293,w112,4,5
t500,w619,3,3
t199,w59,3,3
t112,w389,5,5
t360,w652,5,3
t963,w467,5,5
t947,w373,3,5
t778,w206,3,3
t537,w112,4,4
t278,w58,3,3
t827,w741,3,3
t1041,w448,1,3
t789,w230,3,3
t192,w416,1,5
t210,w347,5,4
t895,w648,3,2
t319,w316,3,3
t855,w788,3,3
t807,w653,3,3
t496,w626,4,4
t175,w17,5,5
t207,w179,3,3
t749,w578,3,3
t676,w389,3,3
t559,w311,4,1
t436,w646,3,3
t177,w323,2,2
t521,w734,5,5
t537,w1,4,4
t193,w202,5,5
t508,w655,5,1
t64,w10,5,5
t230,w696,3,3
t1038,w664,3,3
t758,w371,1,1
t588,w151,3,3
