task,worker,label,gt
1317120467010899968,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1313689641233518592,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,3,3
1328766894191505408,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,4
1288590298109505536,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1334865057323376640,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1347826846906384384,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1348003789446397952,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1347779251416678400,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,3
1317107763814699008,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1263510346758791168,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1251376725306589184,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,4
1343707824648548352,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1344127902049214464,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1333967670937436160,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1321430891332276224,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1303640325781704704,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1317177077460848640,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1285291434711670784,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,4
1354366001408831488,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1327022789363056640,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1354806860344254464,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,3,3
1319630701587779584,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1316816481942814720,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1267114893997735936,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,4
1317127308600315904,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1332177205862883328,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1351176776123297792,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1347172094338064384,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1342588940419657728,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1347614441165099008,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1317255610858024960,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1349817858163957760,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1359602690985136128,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1316685871920353280,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1321249887770521600,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,5,4
1214720126085414912,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1334766962807775232,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1355619168406499328,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1349804904760582144,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1264217946441703424,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,3
1363337753975545856,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1321491880882982912,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1317566997375352832,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,0
1348995734704705536,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1349709960180097024,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1347958919159816192,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1261260707250790400,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,4
1345889396038524928,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1342881000238370816,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1316765569341894656,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348852117738549248,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1266380698870591488,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1334527288017350656,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1346934361103376384,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1344066329356070912,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348053910347526144,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1348064683350253568,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1347450879528595456,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1347341671638343680,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
