task,gt
t1005,4
t960,0
t320,2
t820,2
t741,2
t493,2
t809,2
t296,2
t243,2
t354,3
t553,4
t505,3
t308,2
t162,2
t260,2
t562,2
t470,2
t251,3
t1044,2
t1047,2
t321,2
t531,4
t254,2
t702,4
t216,4
t944,2
t935,4
t709,4
t727,2
t992,4
t504,2
t350,2
t615,2
t791,2
t398,4
t762,1
t899,4
t294,2
t743,2
t151,4
t517,4
t315,2
t539,2
t882,4
t511,2
t160,2
t515,2
t521,4
t904,2
t264,4
t632,4
t726,2
t955,2
t775,2
t204,2
t988,2
t627,2
t157,4
t757,1
t810,4
t1032,4
t108,0
t895,1
t8,2
t689,1
t498,4
t215,4
t868,4
t673,4
t110,1
t654,2
t307,2
t1002,2
t382,0
t412,2
t15,0
t406,2
t916,4
t367,2
t1004,2
t365,2
t1011,2
t700,4
t971,2
t467,4
t837,2
t692,2
t961,4
t738,2
t722,2
t94,4
t972,0
t778,2
t289,2
t580,2
t458,4
t701,4
t111,2
t664,2
t900,1
t1020,4
t56,3
t863,2
t1013,2
t652,2
t52,4
t186,2
t856,2
t1027,2
t619,2
t420,2
t331,4
t929,2
t484,4
t609,4
t645,2
t70,2
t114,4
t801,2
t340,2
t207,2
t144,2
t688,2
t224,0
t946,4
t611,2
t677,0
t16,2
t266,4
t3,2
t844,4
t878,2
t728,3
t327,2
t465,4
t487,4
t603,2
t164,2
t355,2
t554,0
t471,4
t267,3
t690,0
t104,2
t462,2
t78,1
t1035,2
t455,2
t437,4
t725,2
t898,2
t140,2
t667,3
t217,4
t411,2
t779,2
t537,3
t387,1
t841,4
t339,2
t913,2
t1022,4
t273,2
t132,2
t38,3
t901,2
t377,2
t751,2
t466,2
t731,2
t287,2
t991,4
t966,2
t613,2
t720,4
t550,4
t543,2
t666,2
t1003,2
t342,2
t599,2
t558,2
t534,4
t1045,2
t90,2
t712,4
t917,2
t73,3
t520,1
t362,2
t124,0
t324,2
t948,4
t126,2
t325,2
t311,4
t391,2
t519,2
t28,4
t312,2
t965,2
t193,4
t138,2
t223,3
t316,2
t249,2
t653,3
t361,2
t931,0
t41,4
t436,2
t763,2
t35,4
t836,2
t678,3
t485,2
t59,3
t932,4
t158,2
t770,4
t658,2
t155,3
t109,2
t973,4
t9,2
t330,2
t347,4
t823,2
t401,0
t644,0
t444,0
t869,4
t662,4
t593,4
t176,4
t529,4
t474,2
t258,4
t1009,4
t1026,0
t663,1
t981,2
t259,2
t958,0
t959,3
t790,2
t433,4
t910,2
t1043,2
t937,4
t880,4
t951,2
t1008,2
t805,1
t896,2
t585,4
t66,4
t301,1
t794,4
t76,4
t647,2
t409,2
t675,3
t556,2
t623,2
t55,2
t934,4
t416,4
t947,4
t906,4
t292,2
t915,2
t274,2
t105,2
t343,4
t441,2
t230,2
t13,2
t115,0
t435,2
t245,4
t974,2
t968,4
t278,2
t282,3
t565,4
t883,4
t399,4
t857,2
t123,2
t205,2
t210,3
t317,4
t475,2
t269,1
t758,0
t286,1
t379,4
t838,2
t497,4
t629,2
t19,4
t893,2
t191,2
t166,2
t691,4
t600,3
t333,2
t734,4
t792,2
t133,4
t153,2
t830,2
t814,4
t559,0
t845,3
t816,2
t219,2
t780,2
t237,2
t785,0
t634,2
t695,1
t889,4
t334,4
t507,2
t737,1
t984,0
t337,2
t887,2
t396,2
t914,2
t405,2
t1025,2
t818,4
t443,2
t724,4
t218,4
t394,4
t956,2
t42,2
t424,2
t185,2
t764,2
t954,2
t922,2
t113,4
t686,2
t866,2
t798,2
t828,3
t807,2
t64,4
t604,0
t746,2
t454,2
t769,2
t92,2
t919,4
t698,4
t862,2
t749,2
t787,2
t797,4
t31,4
t175,4
t34,2
t610,2
t89,3
t538,4
t516,2
t445,2
t933,4
t987,2
t106,4
t1019,4
t788,2
t65,2
t135,2
t679,2
t51,4
t1051,2
t761,2
t438,2
t299,2
t478,2
t212,2
t831,2
t165,4
t257,4
t227,1
t938,2
t577,2
t201,2
t352,2
t195,2
t601,2
t897,2
t357,4
t942,4
t911,0
t687,4
t859,4
t302,4
t197,2
t39,4
t163,2
t612,4
t641,4
t535,4
t22,1
t247,2
t242,4
t442,4
t184,4
t187,2
t512,2
t326,2
t211,2
t240,2
t268,4
t364,4
t894,2
t67,4
t14,4
t91,2
t528,2
t147,4
t684,0
t766,4
t499,2
t385,0
t101,1
t719,2
t49,2
t1006,4
t620,2
t87,2
t873,2
t468,2
t375,4
t756,2
t998,2
t608,2
t291,4
t930,2
t536,4
t298,4
t88,1
t1048,2
t290,2
t1007,2
t356,2
t781,2
t592,2
t434,0
t6,2
t715,2
t244,2
t1050,2
t920,4
t407,2
t0,1
t561,0
t533,2
